Reinitialization requiredthe ProjectPosition_origin: 0.00693161 -0.800773 1.75048
WARNING: tranlsation vectors are empty!
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: 0.164687 -0.464607 1.73139
the ProjectPosition_correc: 0.164687 -0.464607 1.73139
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.350282 -0.895329 1.72852
the ProjectPosition_correc: -0.350282 -0.895329 1.72852
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
